2011.05.30,00:00,1.43210,1.43230,1.42570,1.42810,56310
2011.05.31,00:00,1.42810,1.44240,1.42780,1.43960,87315
2011.06.01,00:00,1.43960,1.44580,1.43200,1.43270,88286
2011.06.02,00:00,1.43280,1.45120,1.43080,1.44900,85431
2011.06.03,00:00,1.44900,1.46420,1.44510,1.46330,84856
2011.06.06,00:00,1.46120,1.46570,1.45570,1.45750,89888
2011.06.07,00:00,1.45750,1.46950,1.45630,1.46900,89196
2011.06.08,00:00,1.46910,1.46940,1.45640,1.45820,88930
2011.06.09,00:00,1.45830,1.46470,1.44770,1.45090,83562
2011.06.10,00:00,1.45090,1.45500,1.43220,1.43430,84465
2011.07.14,00:00,1.42040,1.42470,1.41140,1.41440,18563
2011.07.15,00:00,1.41450,1.41970,1.40900,1.41560,24180
2011.07.18,00:00,1.41200,1.41320,1.40120,1.41020,24527
2011.07.19,00:00,1.41010,1.42150,1.40660,1.41530,24414
2011.07.20,00:00,1.41520,1.42380,1.41310,1.42190,21843
2011.07.21,00:00,1.42180,1.44360,1.41370,1.44170,30103
2011.07.22,00:00,1.44180,1.44350,1.43220,1.43550,21027
2011.07.25,00:00,1.44020,1.44050,1.43230,1.43750,19704
2011.07.26,00:00,1.43760,1.45240,1.43550,1.45130,21886
2011.07.27,00:00,1.45100,1.45340,1.43370,1.43660,23117
2011.07.28,00:00,1.43670,1.43980,1.42520,1.43260,22780
2011.07.29,00:00,1.43250,1.44110,1.42270,1.43940,26181
2011.08.01,00:00,1.43570,1.44520,1.43440,1.44460,11740
2011.08.02,00:00,1.42497,1.42825,1.41509,1.42026,137649
2011.08.03,00:00,1.42025,1.43439,1.41435,1.43223,110909
2011.08.04,00:00,1.43222,1.43716,1.40891,1.40935,155263
2011.08.05,00:00,1.40936,1.42976,1.40554,1.42797,133070
2011.08.08,00:00,1.43797,1.44015,1.41297,1.41779,152679
2011.08.09,00:00,1.41780,1.43759,1.41521,1.43748,171422
2011.08.10,00:00,1.41691,1.42377,1.41680,1.41769,13757
2011.08.11,00:00,1.41762,1.42935,1.41021,1.42396,251895
2011.08.12,00:00,1.42389,1.42911,1.41484,1.42490,216770
2011.08.15,00:00,1.42676,1.44768,1.42516,1.44433,136043
2011.08.16,00:00,1.43940,1.44700,1.43750,1.43970,9817
2011.08.17,00:00,1.43980,1.45150,1.43230,1.44230,23694
2011.08.18,00:00,1.44220,1.44500,1.42690,1.43200,28578
2011.08.19,00:00,1.43220,1.44510,1.42570,1.43910,29369
2011.08.22,00:00,1.43740,1.44320,1.43450,1.43550,22763
2011.08.23,00:00,1.43570,1.44980,1.43510,1.44330,23403
2011.08.24,00:00,1.44320,1.44800,1.43770,1.44070,22853
2011.08.25,00:00,1.44060,1.44730,1.43260,1.43720,21753
2011.08.26,00:00,1.43730,1.44990,1.43270,1.44930,21830
2011.08.29,00:00,1.44900,1.45470,1.44630,1.45120,21255
2011.08.30,00:00,1.45110,1.45310,1.43830,1.44360,20227
2011.08.31,00:00,1.44380,1.44670,1.43570,1.43780,20693
2011.09.01,00:00,1.43770,1.43790,1.42240,1.42570,21539
2011.09.02,00:00,1.42590,1.42860,1.41820,1.42020,22296
